diet_group,mean_ghgs,mean_ghgs_ch4,mean_ghgs_n2o,mean_land,mean_watuse,mean_watscar,mean_eut,mean_bio,mean_acid,sd_ghgs,sd_land,sd_watscar,sd_eut,sd_ghgs_ch4,sd_ghgs_n2o,sd_bio,sd_watuse,sd_acid,n_participants,sex,age_group,color,line_type,diet_group_original
fish_mean,5.13336592250825,0.8598366020955001,0.3366620283105833,6.853120033505,798.5551919624166,18565.61363869617,21.730615449694167,257.3540328079867,24.101780635936667,1.8515346321045,2.83962379200725,8402.059546657083,7.563462321377833,0.4684752263205833,0.1359849068369166,156.396249483985,395.6786375698917,8.47804725742075,676.9166666666666,female,20-29,#66a61e,mean,fish
meat_mean,7.553983431040334,1.50624628424225,0.5351344244916666,13.08666533311675,863.87091984575,19284.331898014167,30.31777390905,318.94416524623335,33.99923568837084,2.2889609757647498,6.003152433664083,7256.077477121083,7.725995288473917,0.582780411011,0.1710121279983333,164.48074637363,353.36135039141664,8.452095059988332,997.5833333333334,female,20-29,#d95f02,mean,meat
meat100_mean,11.425865132272667,2.4395302095971667,0.8344280216725001,24.010061382160753,974.222936876,22497.22384643833,42.258796097723334,422.0008036970417,46.77973811744667,3.9958516667393336,12.089647172140834,7771.334115181083,12.830963838820669,0.9847525300641666,0.29233447830075,202.16675402280583,366.7060263373833,12.8088690748625,690.5,female,20-29,#e7298a,mean,meat100
meat50_mean,5.797222292718167,1.0917816940921667,0.3955342350521666,8.662608872683833,782.2991343726,17817.131705268,24.081761029205,272.63415554523334,27.172879150161663,1.8260038497596665,3.3451267372858333,7603.066451488583,6.978766795723583,0.4681463688390833,0.137931924829,157.67744617509834,361.4152448211,8.085380980952667,777.6666666666666,female,20-29,#e6ab02,mean,meat50
vegan_mean,2.6125608947445,0.1513205428328333,0.2183242731801666,4.510695068193083,450.0194409437417,15312.48819834375,11.461198525182416,124.36781596794584,11.598582245710332,1.03097216885,1.8215501692909168,8824.24452321975,4.973630118591333,0.1664317857394166,0.0997182920840833,82.1252087564975,246.7902174720025,5.0958413185720834,170.08333333333334,female,20-29,#1b9e77,mean,vegan
veggie_mean,4.5184112808747505,0.778792463848,0.3036122657545,6.54200675720575,569.3083373948417,16470.226046471333,17.86632834947,252.86196508186083,21.664145857744163,1.7445869541973331,2.6467552708454165,7938.0665811114995,6.162086002550917,0.469491401156,0.130982460461,164.58917859245415,256.4719042405,8.347107014710916,1312.5833333333333,female,20-29,#7570b3,mean,veggie
fish_upper,6.98490055461275,1.3283118284160833,0.4726469351474999,9.69274382551225,1194.2338295323084,26967.673185353255,29.294077771072,413.7502822919717,32.57982789335742,1.8515346321045,2.83962379200725,8402.059546657083,7.563462321377833,0.4684752263205833,0.1359849068369166,156.396249483985,395.6786375698917,8.47804725742075,676.9166666666666,female,20-29,#66a61e,upper,fish
meat_upper,9.842944406805083,2.08902669525325,0.7061465524899999,19.089817766780833,1217.2322702371666,26540.40937513525,38.043769197523915,483.42491161986334,42.45133074835917,2.2889609757647498,6.003152433664083,7256.077477121083,7.725995288473917,0.582780411011,0.1710121279983333,164.48074637363,353.36135039141664,8.452095059988332,997.5833333333334,female,20-29,#d95f02,upper,meat
meat100_upper,15.421716799012001,3.4242827396613333,1.1267624999732502,36.099708554301586,1340.9289632133832,30268.55796161941,55.089759936544,624.1675577198475,59.58860719230917,3.9958516667393336,12.089647172140834,7771.334115181083,12.830963838820669,0.9847525300641666,0.29233447830075,202.16675402280583,366.7060263373833,12.8088690748625,690.5,female,20-29,#e7298a,upper,meat100
meat50_upper,7.623226142477833,1.55992806293125,0.5334661598811666,12.007735609969666,1143.7143791936999,25420.19815675658,31.060527824928585,430.3116017203317,35.258260131114326,1.8260038497596665,3.3451267372858333,7603.066451488583,6.978766795723583,0.4681463688390833,0.137931924829,157.67744617509834,361.4152448211,8.085380980952667,777.6666666666666,female,20-29,#e6ab02,upper,meat50
vegan_upper,3.6435330635945,0.3177523285722499,0.3180425652642499,6.332245237484,696.8096584157443,24136.7327215635,16.43482864377375,206.49302472444333,16.694423564282417,1.03097216885,1.8215501692909168,8824.24452321975,4.973630118591333,0.1664317857394166,0.0997182920840833,82.1252087564975,246.7902174720025,5.0958413185720834,170.08333333333334,female,20-29,#1b9e77,upper,vegan
veggie_upper,6.262998235072084,1.248283865004,0.4345947262155,9.188762028051167,825.7802416353418,24408.292627582832,24.028414352020917,417.45114367431495,30.01125287245508,1.7445869541973331,2.6467552708454165,7938.0665811114995,6.162086002550917,0.469491401156,0.130982460461,164.58917859245415,256.4719042405,8.347107014710916,1312.5833333333333,female,20-29,#7570b3,upper,veggie
fish_lower,3.2818312904037494,0.39136137577491675,0.20067712147366668,4.01349624149775,402.87655439252495,10163.554092039087,14.167153128316333,100.9577833240017,15.623733378515917,1.8515346321045,2.83962379200725,8402.059546657083,7.563462321377833,0.4684752263205833,0.1359849068369166,156.396249483985,395.6786375698917,8.47804725742075,676.9166666666666,female,20-29,#66a61e,lower,fish
meat_lower,5.265022455275584,0.92346587323125,0.3641222964933333,7.083512899452667,510.50956945433336,12028.254420893085,22.591778620576083,154.46341887260334,25.547140628382508,2.2889609757647498,6.003152433664083,7256.077477121083,7.725995288473917,0.582780411011,0.1710121279983333,164.48074637363,353.36135039141664,8.452095059988332,997.5833333333334,female,20-29,#d95f02,lower,meat
meat100_lower,7.430013465533333,1.454777679533,0.5420935433717501,11.920414210019919,607.5169105386167,14725.889731257248,29.427832258902665,219.83404967423587,33.97086904258417,3.9958516667393336,12.089647172140834,7771.334115181083,12.830963838820669,0.9847525300641666,0.29233447830075,202.16675402280583,366.7060263373833,12.8088690748625,690.5,female,20-29,#e7298a,lower,meat100
meat50_lower,3.9712184429585005,0.6236353252530835,0.2576023102231666,5.317482135398,420.8838895515,10214.065253779416,17.102994233481418,114.956709370135,19.087498169208995,1.8260038497596665,3.3451267372858333,7603.066451488583,6.978766795723583,0.4681463688390833,0.137931924829,157.67744617509834,361.4152448211,8.085380980952667,777.6666666666666,female,20-29,#e6ab02,lower,meat50
