mc_run_id,grouping,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid,sd_ghgs,sd_land,sd_watscar,sd_eut,sd_ghgs_ch4,sd_ghgs_n2o,sd_bio,sd_watuse,sd_acid,n_participants,sex,diet_group,age_group
1,fish_female_20-29,5.421821387,8.612771514,14165.8624,23.94537171,1.164642536,0.343663411,476.2704126,679.923479,23.43919564,2.043121433,3.811792159,5411.942852,8.167012875,0.632546604,0.146826588,283.8834281,249.4725631,8.231175865,1329,female,fish,20-29
1,fish_female_30-39,5.436672807,8.680248379,15222.77063,24.30526207,1.154117567,0.326867703,467.9232013,709.3437853,24.16626004,1.92597713,3.527833768,5761.698432,8.467858208,0.601941235,0.130298439,270.2471078,277.9272693,7.947014179,2024,female,fish,30-39
1,fish_female_40-49,5.289333494,8.467722706,15818.80068,24.19110506,1.108404229,0.310324002,438.6598318,707.9253678,24.59769962,1.781471186,3.093304531,5929.50225,8.107006442,0.572941349,0.119871911,252.4150633,275.7605148,8.103588914,1689,female,fish,40-49
1,fish_female_50-59,5.169020338,8.219198702,16962.06009,24.74815398,1.032500992,0.298129957,395.7876223,720.8251053,25.0046366,1.749271151,3.103613487,7230.767144,9.51402758,0.509688502,0.104731326,209.5667218,310.4224454,8.712428115,946,female,fish,50-59
1,fish_female_60-69,5.38026761,8.570718271,18212.66232,25.5594299,1.098827574,0.310734866,421.1768674,749.3928264,26.04873738,1.96181407,3.664188477,7264.966514,9.258067687,0.609398081,0.113401488,264.5992568,315.9225704,8.616600658,492,female,fish,60-69
1,fish_female_70-79,5.261443442,8.590993404,18956.45472,24.72273712,1.072913689,0.318862305,421.1908924,737.551714,25.28166578,1.706444806,2.9769158,9271.666687,8.669523313,0.511331176,0.106542558,229.0616459,309.8887153,8.423872192,195,female,fish,70-79
1,fish_male_20-29,6.487269591,10.01335938,16576.20716,28.3456298,1.359269751,0.406118298,560.8109576,825.9289259,27.25711881,2.068453833,3.632505293,6841.739234,12.49482477,0.637551188,0.152574766,285.5213347,446.6745311,9.380950479,163,male,fish,20-29
1,fish_male_30-39,5.941806702,9.268371734,16747.50289,26.39279603,1.21494611,0.367507451,504.4426723,775.9340465,25.6767921,2.000732597,3.477489536,6152.59938,9.736168497,0.607283822,0.152547755,269.0681568,332.3144707,8.372291622,412,male,fish,30-39
1,fish_male_40-49,5.827033004,9.242534555,16564.72408,25.88726935,1.207849417,0.344069088,493.4895294,769.6018376,25.17159299,2.17038244,4.003915773,6263.703478,10.88407048,0.680575018,0.129696422,313.4805846,390.2082969,8.74798831,432,male,fish,40-49
1,fish_male_50-59,5.592126639,8.762797277,17075.25806,25.23951642,1.139126123,0.318349289,455.2992041,740.642378,25.19513616,1.938282295,3.219627001,6406.486132,9.082830859,0.59217143,0.10948058,253.3998131,302.5084907,8.707410954,214,male,fish,50-59
1,fish_male_60-69,5.670219693,9.103685951,18422.12594,25.31159039,1.173765462,0.334603188,463.6510308,760.0102593,25.34000326,2.616778426,5.238285577,8187.461608,9.556623649,0.82943441,0.161603613,369.5739839,311.8056155,9.29618197,159,male,fish,60-69
